Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2019-02-01,106.002002,105.696454,107.498873,103.063945
ETH,2019-02-02,109.28524,106.001877,109.820599,105.126168
ETH,2019-02-03,106.011807,109.285394,109.973655,104.607036
ETH,2019-02-04,106.025027,106.01163,107.788932,105.420351
ETH,2019-02-05,106.057999,106.024975,106.49671,105.173807
ETH,2019-02-06,103.360537,106.058039,106.358117,100.176556
ETH,2019-02-07,103.21,103.360671,104.693191,102.74884
ETH,2019-02-08,118.028147,103.21,121.869019,102.482069
ETH,2019-02-09,118.06,118.029216,119.745052,116.633002
ETH,2019-02-10,123.986497,118.06,124.835581,115.00076
ETH,2019-02-11,119.543827,123.985669,124.076998,118.350328
ETH,2019-02-12,120.958121,119.543825,122.24234,117.127612
ETH,2019-02-13,120.7695,120.958024,124.970897,119.69
ETH,2019-02-14,119.362947,120.770144,123.050006,118.949139
ETH,2019-02-15,120.444053,119.367958,122.997444,119.225095
ETH,2019-02-16,121.569301,120.444111,123.544319,120.443206
ETH,2019-02-17,132.334676,121.569179,134.030404,121.455854
ETH,2019-02-18,144.657942,132.334783,147.78,131.21
ETH,2019-02-19,142.85,144.658391,149.204913,142.516793
ETH,2019-02-20,147.630797,142.85,148.301935,139.641341
ETH,2019-02-21,144.222428,147.620933,148.407877,141.805071
ETH,2019-02-22,146.676951,144.222366,147.39954,142.438821
ETH,2019-02-23,157.515247,146.68,159.418366,144.96
ETH,2019-02-24,131.56,157.515414,165.577627,131.56
ETH,2019-02-25,137.54,131.56,140.935457,131.413687
ETH,2019-02-26,135.913791,137.54,137.911394,133.282382
ETH,2019-02-27,134.185804,135.908767,139.692832,125.986361
ETH,2019-02-28,134.513085,134.18583,138.845888,131.891133
ETH,2019-03-01,134.741557,134.513101,137.434723,133.863385
ETH,2019-03-02,132.254672,134.74157,135.38814,129.783781
ETH,2019-03-03,129.768664,132.254638,134.161444,127.562288
ETH,2019-03-04,125.170597,129.768686,130.227015,122.779287
ETH,2019-03-05,136.290949,125.17075,137.504573,124.844858
ETH,2019-03-06,136.979715,136.290952,140.222923,133.458585
ETH,2019-03-07,136.091034,136.979734,139.574727,134.924666
ETH,2019-03-08,132.753589,136.092955,138.455311,129.818883
ETH,2019-03-09,136.391899,132.753802,137.97,132.191614
ETH,2019-03-10,134.818179,136.39207,136.692021,133.570304
ETH,2019-03-11,131.807155,134.818201,135.364577,130.521542
ETH,2019-03-12,132.783275,131.807761,134.198261,127.705183
ETH,2019-03-13,131.178731,132.783322,132.877526,130.283994
ETH,2019-03-14,131.395581,131.178421,134.708013,128.903064
ETH,2019-03-15,135.818054,131.395552,136.779725,131.394647
ETH,2019-03-16,140.511838,135.817829,143.448519,135.817829
ETH,2019-03-17,138.054686,140.511837,140.51184,136.644511
ETH,2019-03-18,136.999741,138.054676,141.136359,135.831083
ETH,2019-03-19,137.99635,136.99987,138.628467,136.38095
ETH,2019-03-20,138.733896,137.998389,139.215937,135.471751
ETH,2019-03-21,134.464011,138.733852,139.096709,132.42403
ETH,2019-03-22,135.790851,134.464039,136.88267,134.113933
ETH,2019-03-23,136.543829,135.790866,137.526588,135.371739
ETH,2019-03-24,135.341821,136.543794,136.585448,134.241611
ETH,2019-03-25,133.005438,135.342216,136.127474,130.813214
ETH,2019-03-26,133.203784,133.005439,133.751215,131.587126
ETH,2019-03-27,139.101003,133.203773,139.630538,133.095225
ETH,2019-03-28,137.385455,139.100953,139.102427,136.788444
ETH,2019-03-29,142.836827,137.38541,143.005916,136.958812
ETH,2019-03-30,142.039764,142.829847,145.325125,140.095287
ETH,2019-03-31,141.29,142.039814,142.179825,140.275608
ETH,2019-04-01,141.138784,141.29,142.82044,139.114202
ETH,2019-04-02,164.796707,141.138904,167.29277,140.893898
ETH,2019-04-03,161.06355,164.796717,179.950664,152.104396
ETH,2019-04-04,157.592292,161.06359,164.744223,153.6
ETH,2019-04-05,166.058082,157.592291,168.414731,156.36
ETH,2019-04-06,165.366729,166.058038,173.038212,160.523073
ETH,2019-04-07,175.020433,165.366769,176.76,164.22507
ETH,2019-04-08,180.74,175.020428,187.26,174.007846
ETH,2019-04-09,175.887809,180.74,180.75,174.448156
ETH,2019-04-10,177.419209,175.882815,185.265007,170.828706
ETH,2019-04-11,164.96,177.439696,177.767997,160.723317
ETH,2019-04-12,164.310225,164.96,167.375137,159.580956
ETH,2019-04-13,163.851448,164.310223,166.095225,162.267524
ETH,2019-04-14,168.12595,163.85122,169.003962,161.727447
ETH,2019-04-15,160.360188,168.125968,169.398234,156.072328
ETH,2019-04-16,166.52,160.360187,167.911664,159.582931
ETH,2019-04-17,166.585512,166.52,168.393694,164.611436
ETH,2019-04-18,174.092375,166.581546,175.99,166.169388
ETH,2019-04-19,173.689695,174.092373,174.378593,169.516945
ETH,2019-04-20,173.671247,173.68986,177.73,170.894002
ETH,2019-04-21,169.88746,173.671251,174.151146,166.49
ETH,2019-04-22,171.523506,169.887313,173.531356,168.295484
ETH,2019-04-23,170.65,171.522609,176.806137,169.014547
ETH,2019-04-24,165.6,170.58773,170.986741,160.39
ETH,2019-04-25,152.090819,165.6,166.265901,147.125558
ETH,2019-04-26,152.986558,152.090814,155.67633,148.506995
ETH,2019-04-27,155.604578,152.985965,158.244899,152.544412
ETH,2019-04-28,153.261995,155.605772,156.37,152.568206
ETH,2019-04-29,152.323271,153.261951,154.666768,149
ETH,2019-04-30,160.109866,152.323288,160.952986,152.32328
ETH,2019-05-01,158.36,160.110126,162.75949,156.737291
ETH,2019-05-02,158.788604,158.36,160.433157,155.843141
ETH,2019-05-03,164.727206,158.791701,168.925811,157.923651
ETH,2019-05-04,161.95,164.729224,168.515856,158.35
ETH,2019-05-05,161.290036,161.95,163.367184,157.371054
ETH,2019-05-06,171.163772,161.291176,175.65189,157.827013
ETH,2019-05-07,166.3,171.163771,180.5,165.593151
ETH,2019-05-08,169.578187,166.31,171.805292,162.340248
ETH,2019-05-09,170.037231,169.578165,173.126975,165.4
ETH,2019-05-10,172.137652,170.037253,176.109568,167.6
ETH,2019-05-11,192.853985,172.137636,206.76,172.124903
ETH,2019-05-12,188.249481,192.839527,203.756656,182.840035
ETH,2019-05-13,196.337903,188.252558,208.776655,185.791304
ETH,2019-05-14,217.517287,196.337941,220.791031,195.38
ETH,2019-05-15,249.048967,217.517294,250.429992,217.341078
ETH,2019-05-16,264.650969,249.049361,280.14562,242.271557
ETH,2019-05-17,244.472687,264.64389,269.046919,223.451056
ETH,2019-05-18,234.219247,244.472683,248.361283,231.5
ETH,2019-05-19,261.138345,234.219262,264.56,232.777626
ETH,2019-05-20,252.444922,261.138339,261.143169,239.328522
ETH,2019-05-21,255.121371,252.444893,264.188523,247.84
ETH,2019-05-22,243.539075,255.114409,261.38,240.283128
ETH,2019-05-23,245.578087,243.539004,248.4,231.457754
ETH,2019-05-24,249.623398,245.571245,256,242.52
ETH,2019-05-25,251.887804,249.624911,258.618666,248.542426
ETH,2019-05-26,268.37,251.887846,270.99,246.122509
ETH,2019-05-27,271.413901,268.37,279.5,264.504923
ETH,2019-05-28,271.28829,271.414099,276.376841,265.47
ETH,2019-05-29,269.302484,271.288595,274.137964,260.338401
ETH,2019-05-30,254.483698,269.302383,288.71445,239.404922
ETH,2019-05-31,267.804004,254.463322,268.291289,245.21
ETH,2019-06-01,264.596827,267.804001,274.554157,261.481783
ETH,2019-06-02,269.42,264.596929,273.874269,264.26
ETH,2019-06-03,249.808942,269.42,270.1,247.25
ETH,2019-06-04,240.878515,249.808847,250.78307,233.845253
ETH,2019-06-05,246.211496,240.878257,248.91723,237.85
ETH,2019-06-06,249.23,246.211335,251.18,235.67
ETH,2019-06-07,249.859516,249.29,254.15,244.971662
ETH,2019-06-08,244.3,249.859424,250.768993,241.889707
ETH,2019-06-09,231.73,244.3,244.96,226.71
ETH,2019-06-10,247.792633,231.73,248.1,227.59
ETH,2019-06-11,245.214033,247.783446,248.99,237.62
ETH,2019-06-12,263.278083,245.214094,263.43,243.25
ETH,2019-06-13,255.239771,263.235546,264.42,254.461767
ETH,2019-06-14,263.815666,255.23216,266,252.726396
ETH,2019-06-15,269.222903,263.815676,273.139308,262.019294
ETH,2019-06-16,268.58,269.222897,278.79,263.463761
ETH,2019-06-17,273.74,268.58,275.517125,267.75
ETH,2019-06-18,264.362438,273.74,273.91776,261.2
ETH,2019-06-19,268.936421,264.362425,269.97,263.599094
ETH,2019-06-20,271.984579,268.93641,274.432213,266.599113
ETH,2019-06-21,296.25,271.984577,296.711042,271.984577
ETH,2019-06-22,308.400583,296.25,315.197376,293.97238
ETH,2019-06-23,306.863802,308.40102,317.957431,304.745855
ETH,2019-06-24,310.49071,306.86382,312.832136,295.7
ETH,2019-06-25,316.65269,310.490789,317.37,306.236156
ETH,2019-06-26,334.275292,316.65245,363.24106,314.53
ETH,2019-06-27,293.57,334.268713,343.240604,274.608061
ETH,2019-06-28,309.733502,293.47,312.5,289.95
ETH,2019-06-29,317.718202,309.733475,323.55,291.53425
ETH,2019-06-30,289.040985,317.71822,323.038575,286.403172
ETH,2019-07-01,293.642825,289.040985,301.28,279.039939
ETH,2019-07-02,290.687418,293.642778,295.82,271.548144
ETH,2019-07-03,302.1,290.68745,303.286202,289.771482
ETH,2019-07-04,283,302.1,303.814042,280.49071
ETH,2019-07-05,287.7622,283,294.9,280.446544
ETH,2019-07-06,287.57,287.762213,297.819304,285.65
ETH,2019-07-07,306.53968,287.57,310.605126,284.25
ETH,2019-07-08,313.505198,306.481603,314.809062,302.53
ETH,2019-07-09,307.95,313.505188,318.325166,303.26
ETH,2019-07-10,288.683864,307.95,314.65,282
ETH,2019-07-11,268.825504,288.669307,288.669307,262.59712
ETH,2019-07-12,275.524138,268.826054,279.169403,266.5
ETH,2019-07-13,269.601335,275.524038,275.801617,262.212019
ETH,2019-07-14,226.15,269.601313,269.778575,223.130259
ETH,2019-07-15,228.295057,225.89,235.3,203.289279
ETH,2019-07-16,198.526362,228.295055,234.46,190.827306
ETH,2019-07-17,211.301296,198.526362,219.8,192.556936
ETH,2019-07-18,225.9,211.301333,229.600486,206.699658
ETH,2019-07-19,221.21,225.9,226.65,213.538681
ETH,2019-07-20,228.89,221.21,235.79,220.5
ETH,2019-07-21,225.680341,228.89,229.77,217.82
ETH,2019-07-22,217.11,225.680379,228.05,211.918286
ETH,2019-07-23,211.93,217.13,219,208.57
ETH,2019-07-24,216.666969,211.93,217.94,201.061028
ETH,2019-07-25,219.16,216.666968,225.84,215.7
ETH,2019-07-26,219.45,219.16,220.55,212.85
ETH,2019-07-27,207.025221,219.45,223.797097,202.7
ETH,2019-07-28,211.05,207.038295,213.13,197.855315
ETH,2019-07-29,210.720959,211.05,214.824487,206.475788
ETH,2019-07-30,209.828624,210.722777,214.3,204.516186
ETH,2019-07-31,218.7,209.828639,218.86,209.629917
ETH,2019-08-01,217.460559,218.7,219.1,211.02
ETH,2019-08-02,217.783755,217.460842,222.666466,215.094318
ETH,2019-08-03,221.952726,217.783736,224.655526,216.485405
ETH,2019-08-04,222.914375,221.952732,223.65,217.683543
ETH,2019-08-05,232.89885,222.914368,236.7,222.884538
ETH,2019-08-06,226.042319,232.898782,239.321743,222.662654
ETH,2019-08-07,226.05,226.042313,230.98,220.465719
ETH,2019-08-08,220.97,226.05,226.42,215.032711
ETH,2019-08-09,210.271289,220.97,221.205421,206.87
ETH,2019-08-10,206.123013,210.271267,214.410413,200.986036
ETH,2019-08-11,216.28,206.122998,216.53,205.849366
ETH,2019-08-12,211.131317,216.28,216.320424,209.8
ETH,2019-08-13,208.401144,211.13128,211.184765,203.24
ETH,2019-08-14,186.12,208.401143,208.99,182.1
ETH,2019-08-15,188.112186,186.12,189.567989,173.904192
ETH,2019-08-16,185.432977,188.112112,188.124633,178.5
ETH,2019-08-17,185.576397,185.433039,186.732546,182.11
ETH,2019-08-18,194.619648,185.576397,197.887955,183.368158
ETH,2019-08-19,202.4,194.619582,203.452719,193.132937
ETH,2019-08-20,196.258782,202.4,202.6,194.722094
ETH,2019-08-21,187.17,196.258882,196.87,180.25
ETH,2019-08-22,190.9,187.17,194.932035,182.82
ETH,2019-08-23,194.595729,190.9,196.539107,188.73
ETH,2019-08-24,190.85,194.595642,194.595642,186.21
ETH,2019-08-25,186.557811,190.85,192.503409,183.153885
ETH,2019-08-26,188.354382,186.560648,194.2,185.802402
ETH,2019-08-27,187.190689,188.354351,188.95,184.7
ETH,2019-08-28,172.83,187.190693,187.908505,166.056065
ETH,2019-08-29,168.74,172.83,173.36,163.81406
ETH,2019-08-30,168.278337,168.74,170.3,165.7
ETH,2019-08-31,171.95,168.275127,174.798823,166.15
ETH,2019-09-01,171.163152,171.95,173.592121,168.128344
ETH,2019-09-02,178.796129,171.163153,181.34,170.650311
ETH,2019-09-03,178.998478,178.796191,182.925158,175.02
ETH,2019-09-04,175.02,178.998458,180.28,173.8
ETH,2019-09-05,174.07711,175.02,175.607897,170.170555
ETH,2019-09-06,169.19,174.077104,178.35,165.35
ETH,2019-09-07,178.189206,169.19,180.93523,168.606728
ETH,2019-09-08,181.487087,178.189417,184.301187,176.65
ETH,2019-09-09,180.863401,181.487082,185.728319,176.192818
ETH,2019-09-10,179.870298,180.863442,184.281177,176.84
ETH,2019-09-11,178.346002,179.870378,181.845843,174.5
ETH,2019-09-12,181.036107,178.346008,182.55,176.555526
ETH,2019-09-13,181.346106,181.036178,181.670962,177.75
ETH,2019-09-14,188.730605,181.346247,189.066896,180.397036
ETH,2019-09-15,189.423577,188.730585,190.877416,186.507487
ETH,2019-09-16,197.751846,189.423493,199.54,188.6
ETH,2019-09-17,207.843037,197.751892,215,196.3
ETH,2019-09-18,210.26,207.843037,217.219934,207.80566
ETH,2019-09-19,220.8,210.26,224.394675,202.266504
ETH,2019-09-20,218.11,220.8,221.9,212.2
ETH,2019-09-21,214.94,218.11,221.417926,213.616541
ETH,2019-09-22,211.169085,214.94,215.25,206.15
ETH,2019-09-23,200.77,211.169138,211.5,198.663322
ETH,2019-09-24,166.457851,200.77,202.572735,155.993108
ETH,2019-09-25,170.242077,166.45786,174.94,162.49
ETH,2019-09-26,165.791376,170.242043,170.8,152.478525
ETH,2019-09-27,174.184943,165.79137,177.109448,161.44
ETH,2019-09-28,173.933203,174.201447,175.8,168.685892
ETH,2019-09-29,169.414196,173.933325,174.62,164.68
ETH,2019-09-30,181.17,169.414131,181.6,165.32
ETH,2019-10-01,176.274987,181.17,185.721843,174
ETH,2019-10-02,180.91417,176.275169,181.462679,174.3
ETH,2019-10-03,174.94587,180.914146,181.089961,169.940124
ETH,2019-10-04,175.959771,174.945852,179.318568,171.148626
ETH,2019-10-05,176.42047,175.959768,176.901468,172.4
ETH,2019-10-06,170.320735,176.420468,177.05,168
ETH,2019-10-07,180.389527,170.320745,182.405366,168.91
ETH,2019-10-08,180.991751,180.389549,185.1,177.54
ETH,2019-10-09,193.639696,180.991317,195.81734,179.45124
ETH,2019-10-10,191.643918,193.641909,194.79,187.536377
ETH,2019-10-11,180.812874,191.643918,197.412463,179.62
ETH,2019-10-12,179.890735,180.812875,184.725823,177.752038
ETH,2019-10-13,181.188359,179.890228,184.65,178.85
ETH,2019-10-14,186.790345,181.188331,187.61987,180.656119
ETH,2019-10-15,180.630722,186.790344,188.332664,177.529591
ETH,2019-10-16,174.706162,180.630722,181.15,171.92641
ETH,2019-10-17,177.334649,174.706175,179.05,172.85
ETH,2019-10-18,173.020486,177.334488,177.426331,168.510392
ETH,2019-10-19,171.936237,173.020421,174.95,169.970193
ETH,2019-10-20,175.49,171.936189,176.56,169.45
ETH,2019-10-21,174.42561,175.49,177.971388,171.964738
ETH,2019-10-22,171.336781,174.425357,175.4,170.7
ETH,2019-10-23,162.49,171.336777,171.429734,153.4
ETH,2019-10-24,160.731844,162.482294,163.85,159.23
ETH,2019-10-25,181.590378,160.731838,187.55,160.655712
ETH,2019-10-26,180.082427,181.590372,198.75,174.07
ETH,2019-10-27,184.18716,180.082427,189.05,177.113831
ETH,2019-10-28,182.15,184.187133,189.85,180.943851
ETH,2019-10-29,191.110607,182.15,193,181.95
ETH,2019-10-30,183.328028,191.110598,192.058957,180.08
ETH,2019-10-31,182.62961,183.328055,185.47,178.061856
ETH,2019-11-01,183.282321,182.631252,184.729747,177.6
ETH,2019-11-02,183.085555,183.282276,185.793942,182.11
ETH,2019-11-03,181.63362,183.085551,184.893522,179.204594
ETH,2019-11-04,186.267019,181.633604,189.326508,180.563838
ETH,2019-11-05,188.74683,186.268755,192.36,182.63
ETH,2019-11-06,191.14,188.746801,194.307618,188.029852
ETH,2019-11-07,186.42,191.14,192.079809,184.4
ETH,2019-11-08,183.6,186.42,188.06,180.87
ETH,2019-11-09,184.85288,183.6,185.59,182.813139
ETH,2019-11-10,188.916175,184.852658,191.67,183.45
ETH,2019-11-11,184.646179,188.916224,189.959981,183.9
ETH,2019-11-12,186.890333,184.646234,187.13522,182.280447
ETH,2019-11-13,187.722907,186.898865,189.31,185.18
ETH,2019-11-14,184.56031,187.723062,188.22,182.937243
ETH,2019-11-15,179.835204,184.560307,186.41,177.199868
ETH,2019-11-16,182.218906,179.835221,183.145321,179.226167
ETH,2019-11-17,183.821201,182.218966,186.2,180.15
ETH,2019-11-18,177.9,183.821203,183.885966,174.41
ETH,2019-11-19,175.643208,177.9,178.041148,172.662494
ETH,2019-11-20,174.301007,175.643237,177.16,173.35
ETH,2019-11-21,160.840656,174.301112,175.33,155.981754
ETH,2019-11-22,150.04677,160.84066,162.503677,138.16
ETH,2019-11-23,151.97,150.046772,154.230918,146.58
ETH,2019-11-24,139.972229,151.97,153.02,138.903592
ETH,2019-11-25,146.341051,139.959401,151.49,131.975389
ETH,2019-11-26,147.789091,146.27997,149.75,143.75
ETH,2019-11-27,152.904493,147.789086,155.7,141.19
ETH,2019-11-28,151.004761,152.904534,154.79,149.459245
ETH,2019-11-29,154.662564,151.00475,157.506621,150.7
ETH,2019-11-30,151.78,154.662622,155.275004,150.07
ETH,2019-12-01,151.106039,151.78,152.223588,146.1
ETH,2019-12-02,148.981346,151.106005,151.422367,147
ETH,2019-12-03,147.365727,148.981334,149.95,145.81547
ETH,2019-12-04,145.440104,147.3657,152.202385,143.47
ETH,2019-12-05,147.99,145.443716,148.79,143.95
ETH,2019-12-06,148.828256,147.99,149.67,146.17
ETH,2019-12-07,147.373652,148.828256,149.7,147.270982
ETH,2019-12-08,150.651483,147.373658,151.89,146.46
ETH,2019-12-09,147.322806,150.651393,151.277095,146.69
ETH,2019-12-10,145.600111,147.322867,147.94432,143.91
ETH,2019-12-11,143.195687,145.600111,146.218512,142.12
ETH,2019-12-12,144.731653,143.195691,145.7,139.306614
ETH,2019-12-13,144.640364,144.729018,145.09,142.801223
ETH,2019-12-14,141.77,144.64036,144.947171,141.175885
ETH,2019-12-15,142.33601,141.751019,143.75,139.99
ETH,2019-12-16,132.379985,142.336012,142.49,129.553724
ETH,2019-12-17,121.75,132.379521,132.56,119.855826
ETH,2019-12-18,132.88,121.75,134.492464,116.366598
ETH,2019-12-19,128.187094,132.88,133.96,125.81
ETH,2019-12-20,128.305153,128.186854,129.16,125.914311
ETH,2019-12-21,127.109016,128.305227,128.400841,126.68
ETH,2019-12-22,132.32744,127.106744,133.074278,126.944993
ETH,2019-12-23,128.096254,132.327447,135.02,126.19
ETH,2019-12-24,127.74,128.096302,129.334256,126.68
ETH,2019-12-25,124.92175,127.74,127.74,123.2
ETH,2019-12-26,125.507634,124.921756,131.885863,124.136037
ETH,2019-12-27,126.244318,125.507657,126.556645,122.425279
ETH,2019-12-28,127.91,126.245081,129.531054,125.931535
ETH,2019-12-29,134.287506,127.91,137.61791,127.380877
ETH,2019-12-30,131.1,134.287499,135.89,130.02
ETH,2019-12-31,128.643862,131.1,133.121376,127.751768
ETH,2020-01-01,130.19,128.630572,132.6,128.202246
ETH,2020-01-02,126.730116,130.19,130.193016,126.078203
ETH,2020-01-03,133.90387,126.730115,134.5,125.555758
ETH,2020-01-04,134.123501,133.909136,135.59,132.539248
ETH,2020-01-05,135.101796,134.123488,138.261148,134.123488
ETH,2020-01-06,144.2611,135.101854,144.374903,134.930031
ETH,2020-01-07,143.165479,144.261178,145.15,139.006756
